Id,Count,Named,Original
terminal,75,unamed,terminal
graph,75,unamed,graph
python-2.7,75,Python & R Developers,Python & R Developers
polymorphism,75,unamed,polymorphism
frontend,74,unamed,frontend
postman,74,unamed,postman
merge,74,unamed,merge
type-conversion,74,unamed,type-conversion
multidimensional-array,74,unamed,multidimensional-array
aws-amplify,73,unamed,aws-amplify
webassembly,73,C Developers,C Developers
set,73,unamed,set
static,73,unamed,static
opengl,73,unamed,opengl
angularjs,72,FrontEnd Developers,FrontEnd Developers
google-maps,72,unamed,google-maps
text,72,unamed,text
jvm,72,unamed,jvm
tcp,72,unamed,tcp
tuples,72,unamed,tuples
io,71,unamed,io
curl,71,unamed,curl
constructor,71,C Developers,C Developers
filter,70,unamed,filter
azure-web-app-service,70,unamed,azure-web-app-service
socket.io,70,unamed,socket.io
scroll,70,unamed,scroll
ssl-certificate,70,unamed,ssl-certificate
group-by,70,unamed,group-by
url,69,unamed,url
node-modules,69,unamed,node-modules
redirect,69,unamed,redirect
indexing,69,unamed,indexing
scope,69,unamed,scope
graphics,69,unamed,graphics
constexpr,69,unamed,constexpr
cocoapods,68,Apple Developers,Apple Developers
wsl-2,68,unamed,wsl-2
mongoose,68,unamed,mongoose
single-page-application,68,unamed,single-page-application
cordova,68,unamed,cordova
unix,68,C Developers,C Developers
iis,68,unamed,iis
shiny,68,Python & R Developers,Python & R Developers
pytest,68,unamed,pytest
google-play,67,unamed,google-play
path,67,unamed,path
openid-connect,67,unamed,openid-connect
vuetify.js,67,FrontEnd Developers,FrontEnd Developers
build.gradle,67,Android & Java Developers,Android & Java Developers
push-notification,67,unamed,push-notification
localization,67,unamed,localization
video-streaming,67,unamed,video-streaming
android-jetpack,67,Android & Java Developers,Android & Java Developers
undefined-behavior,67,unamed,undefined-behavior
authorization,66,unamed,authorization
cryptography,66,unamed,cryptography
certificate,66,unamed,certificate
collections,66,unamed,collections
encoding,66,unamed,encoding
c++14,66,C Developers,C Developers
deprecated,65,unamed,deprecated
nested,65,unamed,nested
markdown,65,unamed,markdown
spring-security,65,Android & Java Developers,Android & Java Developers
automated-tests,65,unamed,automated-tests
mariadb,65,unamed,mariadb
ide,65,unamed,ide
pygame,65,unamed,pygame
parameters,65,unamed,parameters
rxjs,64,FrontEnd Developers,FrontEnd Developers
session,64,unamed,session
input,64,unamed,input
canvas,64,unamed,canvas
request,64,unamed,request
.net-5,64,unamed,.net-5
bit-manipulation,64,unamed,bit-manipulation
python-asyncio,64,Python & R Developers,Python & R Developers
angular-cli,63,FrontEnd Developers,FrontEnd Developers
syntax,63,unamed,syntax
admob,63,unamed,admob
out-of-memory,63,unamed,out-of-memory
search,63,unamed,search
dynamic,63,unamed,dynamic
prolog,63,unamed,prolog
sqlalchemy,63,Database Developers,Database Developers
winforms,63,unamed,winforms
react-testing-library,62,unamed,react-testing-library
storybook,62,unamed,storybook
google-chrome-extension,62,unamed,google-chrome-extension
warnings,62,unamed,warnings
arm,62,unamed,arm
tree,62,unamed,tree
selenium-chromedriver,62,unamed,selenium-chromedriver
java-14,62,Android & Java Developers,Android & Java Developers
material-design,61,unamed,material-design
aws-api-gateway,61,unamed,aws-api-gateway
google-app-engine,61,unamed,google-app-engine
command-line,61,unamed,command-line
data-science,61,unamed,data-science
linq,61,unamed,linq
computer-vision,61,unamed,computer-vision
serverless,60,unamed,serverless
code-coverage,60,unamed,code-coverage
conditional-statements,60,unamed,conditional-statements
runtime-error,60,unamed,runtime-error
geometry,60,unamed,geometry
nuget,60,unamed,nuget
automation,60,unamed,automation
cpu-architecture,60,unamed,cpu-architecture
amazon-cloudformation,60,unamed,amazon-cloudformation
asp.net-web-api,60,unamed,asp.net-web-api
interface,60,unamed,interface
data.table,60,Python & R Developers,Python & R Developers
ansible,60,unamed,ansible
vscode-debugger,59,unamed,vscode-debugger
foreach,59,unamed,foreach
svelte,59,unamed,svelte
zsh,59,unamed,zsh
replace,59,unamed,replace
kernel,59,unamed,kernel
overloading,59,unamed,overloading
sdk,58,unamed,sdk
pagination,58,unamed,pagination
download,58,unamed,download
flutter-dependencies,58,unamed,flutter-dependencies
widget,58,unamed,widget
latex,58,unamed,latex
google-cloud-storage,58,unamed,google-cloud-storage
android-10.0,58,Android & Java Developers,Android & Java Developers
package.json,57,FrontEnd Developers,FrontEnd Developers
command-line-interface,57,unamed,command-line-interface
cloud,57,unamed,cloud
python-3.7,57,Python & R Developers,Python & R Developers
amazon-dynamodb,57,unamed,amazon-dynamodb
makefile,57,unamed,makefile
android-gradle-plugin,57,Android & Java Developers,Android & Java Developers
monads,57,unamed,monads
blazor-server-side,57,unamed,blazor-server-side
quarkus,57,unamed,quarkus
conv-neural-network,57,unamed,conv-neural-network
google-analytics,56,unamed,google-analytics
vuejs3,56,FrontEnd Developers,FrontEnd Developers
ruby-on-rails-6,56,Ruby Developers,Ruby Developers
console,56,unamed,console
gcloud,56,unamed,gcloud
google-drive-api,56,unamed,google-drive-api
gdb,56,unamed,gdb
format,56,unamed,format
garbage-collection,56,unamed,garbage-collection
annotations,56,unamed,annotations
autocomplete,55,unamed,autocomplete
google-oauth,55,unamed,google-oauth
http-headers,55,unamed,http-headers
web-deployment,55,unamed,web-deployment
uikit,55,unamed,uikit
crash,55,unamed,crash
amazon-ecs,55,unamed,amazon-ecs
tkinter,55,unamed,tkinter
jackson,55,unamed,jackson
debian,55,unamed,debian
vectorization,55,unamed,vectorization
g++,55,unamed,g++
asp.net-core-3.0,54,unamed,asp.net-core-3.0
jwt-auth,54,unamed,jwt-auth
typescript-typings,54,FrontEnd Developers,FrontEnd Developers
documentation,54,unamed,documentation
reactive-programming,54,unamed,reactive-programming
integration-testing,54,unamed,integration-testing
google-bigquery,54,unamed,google-bigquery
simd,54,unamed,simd
android-emulator,54,Android & Java Developers,Android & Java Developers
asp.net-core-mvc,54,unamed,asp.net-core-mvc
android-11,54,Android & Java Developers,Android & Java Developers
lazy-evaluation,53,unamed,lazy-evaluation
identityserver4,53,unamed,identityserver4
data-visualization,53,unamed,data-visualization
button,53,unamed,button
formatting,53,unamed,formatting
copy,53,unamed,copy
mvvm,53,unamed,mvvm
directory,53,unamed,directory
post,53,unamed,post
android-room,53,Android & Java Developers,Android & Java Developers
blazor-webassembly,53,C Developers,C Developers
metaprogramming,53,unamed,metaprogramming
integer,53,unamed,integer
spring-data-jpa,53,Android & Java Developers,Android & Java Developers
implicit-conversion,53,unamed,implicit-conversion
pyqt5,53,unamed,pyqt5
tailwind-css,52,FrontEnd Developers,FrontEnd Developers
typeorm,52,unamed,typeorm
swift5,52,Apple Developers,Apple Developers
bitbucket,52,unamed,bitbucket
process,52,unamed,process
artificial-intelligence,52,unamed,artificial-intelligence
spring-mvc,52,Android & Java Developers,Android & Java Developers
statistics,52,unamed,statistics
tidyverse,52,Python & R Developers,Python & R Developers
dll,52,unamed,dll
npm-install,51,unamed,npm-install
bluetooth,51,unamed,bluetooth
apple-silicon,51,Apple Developers,Apple Developers
linker,51,unamed,linker
jdbc,51,unamed,jdbc
load-balancing,51,unamed,load-balancing
prometheus,51,unamed,prometheus
pipeline,51,Python & R Developers,Python & R Developers
operator-overloading,51,unamed,operator-overloading
methods,50,unamed,methods
twitter-bootstrap,50,FrontEnd Developers,FrontEnd Developers
service-worker,50,unamed,service-worker
accessibility,50,unamed,accessibility
istio,50,unamed,istio
sonarqube,50,unamed,sonarqube
localhost,50,unamed,localhost
jupyter-lab,50,unamed,jupyter-lab
pyinstaller,50,unamed,pyinstaller
stack,50,unamed,stack
optional,50,unamed,optional
kubernetes-ingress,50,unamed,kubernetes-ingress
apache-spark-sql,50,Database Developers,Database Developers
rakudo,50,unamed,rakudo
react-navigation,49,unamed,react-navigation
d3.js,49,FrontEnd Developers,FrontEnd Developers
state,49,unamed,state
vue-component,49,unamed,vue-component
attributes,49,unamed,attributes
layout,49,unamed,layout
kubernetes-helm,49,unamed,kubernetes-helm
service,49,unamed,service
split,49,unamed,split
gis,49,unamed,gis
timezone,49,unamed,timezone
.net-standard,49,unamed,.net-standard
jpa,49,Android & Java Developers,Android & Java Developers
typeclass,49,unamed,typeclass
samesite,48,unamed,samesite
google-authentication,48,unamed,google-authentication
immutability,48,unamed,immutability
content-security-policy,48,unamed,content-security-policy
android-permissions,48,Android & Java Developers,Android & Java Developers
locale,48,unamed,locale
aws-cdk,48,unamed,aws-cdk
blazor-client-side,48,unamed,blazor-client-side
duplicates,48,unamed,duplicates
benchmarking,48,unamed,benchmarking
spring-webflux,48,Android & Java Developers,Android & Java Developers
typeerror,47,unamed,typeerror
dom,47,unamed,dom
internationalization,47,unamed,internationalization
instagram,47,unamed,instagram
clang++,47,unamed,clang++
xamarin.android,47,Android & Java Developers,Android & Java Developers
laravel-7,47,FrontEnd Developers,FrontEnd Developers
awk,47,Version Control,Version Control
centos,47,unamed,centos
switch-statement,46,unamed,switch-statement
ionic4,46,FrontEnd Developers,FrontEnd Developers
reverse-proxy,46,unamed,reverse-proxy
cpu,46,unamed,cpu
single-sign-on,46,unamed,single-sign-on
paypal,46,unamed,paypal
in-app-purchase,46,unamed,in-app-purchase
observable,46,FrontEnd Developers,FrontEnd Developers
dependency-management,46,unamed,dependency-management
boost,46,unamed,boost
composer-php,46,FrontEnd Developers,FrontEnd Developers
bazel,46,unamed,bazel
okhttp,46,unamed,okhttp
c#-8.0,46,unamed,c#-8.0
intel,46,unamed,intel
amazon-iam,46,unamed,amazon-iam
web-applications,45,unamed,web-applications
apollo-client,45,unamed,apollo-client
version,45,unamed,version
leaflet,45,unamed,leaflet
ios-simulator,45,Apple Developers,Apple Developers
data-binding,45,unamed,data-binding
operators,45,unamed,operators
alpine,45,unamed,alpine
serverless-framework,45,unamed,serverless-framework
amazon-rds,45,unamed,amazon-rds
cron,45,unamed,cron
gradient,45,unamed,gradient
hashmap,45,unamed,hashmap
time-complexity,45,unamed,time-complexity
utf-8,45,unamed,utf-8
type-inference,45,unamed,type-inference
cluster-analysis,45,unamed,cluster-analysis
huggingface-transformers,45,unamed,huggingface-transformers
msbuild,45,unamed,msbuild
react-native-ios,44,Apple Developers,Apple Developers
connection,44,unamed,connection
styled-components,44,unamed,styled-components
web-component,44,unamed,web-component
github-pages,44,Version Control,Version Control
google-cloud-run,44,unamed,google-cloud-run
woocommerce,44,unamed,woocommerce
office365,44,unamed,office365
etl,44,unamed,etl
tls1.2,44,unamed,tls1.2
orm,44,unamed,orm
gmail,44,unamed,gmail
fortran,44,unamed,fortran
uwp,44,unamed,uwp
android-jetpack-compose,44,Android & Java Developers,Android & Java Developers
standards,44,unamed,standards
swagger-ui,44,unamed,swagger-ui
signalr,44,unamed,signalr
django-models,44,Python & R Developers,Python & R Developers
reflection,44,unamed,reflection
kubectl,44,unamed,kubectl
virtualenv,44,unamed,virtualenv
c++-standard-library,44,C Developers,C Developers
c++-concepts,44,C Developers,C Developers
clipboard,43,unamed,clipboard
stripe-payments,43,unamed,stripe-payments
firebase-analytics,43,unamed,firebase-analytics
use-effect,43,unamed,use-effect
charts,43,unamed,charts
rendering,43,unamed,rendering
notifications,43,unamed,notifications
crashlytics,43,unamed,crashlytics
wkwebview,43,unamed,wkwebview
firebase-realtime-database,43,Database Developers,Database Developers
constraints,43,unamed,constraints
v8,43,unamed,v8
android-intent,43,Android & Java Developers,Android & Java Developers
generator,43,unamed,generator
pipenv,43,Python & R Developers,Python & R Developers
material-components-android,43,Android & Java Developers,Android & Java Developers
virtual-machine,43,unamed,virtual-machine
kubernetes-pod,43,unamed,kubernetes-pod
hadoop,43,unamed,hadoop
seaborn,43,unamed,seaborn
dask,43,unamed,dask
operating-system,43,unamed,operating-system
stdvector,43,unamed,stdvector
firebase-storage,42,unamed,firebase-storage
jsx,42,FrontEnd Developers,FrontEnd Developers
boolean,42,unamed,boolean
mapbox,42,unamed,mapbox
fetch,42,unamed,fetch
datepicker,42,unamed,datepicker
fastlane,42,unamed,fastlane
csrf,42,unamed,csrf
drag-and-drop,42,unamed,drag-and-drop
rubygems,42,Ruby Developers,Ruby Developers
app-store-connect,42,unamed,app-store-connect
camera,42,unamed,camera
google-signin,42,unamed,google-signin
python-import,42,Python & R Developers,Python & R Developers
clojure,42,unamed,clojure
cassandra,42,unamed,cassandra
compiler-construction,42,C Developers,C Developers
mypy,42,unamed,mypy
regression,42,unamed,regression
deno,41,unamed,deno
discord,41,unamed,discord
webpack-dev-server,41,FrontEnd Developers,FrontEnd Developers
es6-modules,41,unamed,es6-modules
arduino,41,unamed,arduino
icons,41,unamed,icons
overriding,41,unamed,overriding
frameworks,41,unamed,frameworks
lazy-loading,41,unamed,lazy-loading
binary,41,unamed,binary
background,41,unamed,background
llvm,41,unamed,llvm
network-programming,41,unamed,network-programming
jenkins-pipeline,41,Python & R Developers,Python & R Developers
amazon-cloudwatch,41,unamed,amazon-cloudwatch
token,41,unamed,token
timestamp,41,unamed,timestamp
expression,41,FrontEnd Developers,FrontEnd Developers
macros,41,unamed,macros
spring-data,41,Android & Java Developers,Android & Java Developers
aws-cli,41,unamed,aws-cli
stl,41,unamed,stl
networkx,41,unamed,networkx
namespaces,41,unamed,namespaces
grafana,41,unamed,grafana
youtube,40,unamed,youtube
apk,40,unamed,apk
prettier,40,unamed,prettier
routing,40,unamed,routing
apollo,40,unamed,apollo
backend,40,unamed,backend
intellisense,40,unamed,intellisense
core-data,40,unamed,core-data
parquet,40,unamed,parquet
adb,40,unamed,adb
upgrade,40,unamed,upgrade
shader,40,unamed,shader
pattern-matching,40,unamed,pattern-matching
android-viewmodel,40,Android & Java Developers,Android & Java Developers
spring-cloud,40,Android & Java Developers,Android & Java Developers
hive,40,unamed,hive
while-loop,40,unamed,while-loop
runtime,40,unamed,runtime
deprecation-warning,39,unamed,deprecation-warning
vuex,39,unamed,vuex
lighthouse,39,unamed,lighthouse
microsoft-edge,39,unamed,microsoft-edge
deep-linking,39,unamed,deep-linking
select,39,Database Developers,Database Developers
strapi,39,unamed,strapi
vue-cli,39,unamed,vue-cli
combine,39,unamed,combine
properties,39,unamed,properties
binding,39,unamed,binding
grouping,39,unamed,grouping
precision,39,unamed,precision
base64,39,unamed,base64
model,39,unamed,model
count,39,unamed,count
laravel-8,39,FrontEnd Developers,FrontEnd Developers
android-activity,39,Android & Java Developers,Android & Java Developers
