Tags,Meaning
spring-cloud-netflix,Spring-Cloud-Netflix provides Netflix OSS integrations for Spring Boot apps through autoconfiguration and binding to the Spring Environment and other Spring programming model idioms.
derivative,"In calculus, a derivative is a measure of a function&#39;s rate of change as its input changes."
memory-barriers,A memory barrier is a special processor instruction that imposes restrictions on the order in which memory accesses become visible to other processors/cores in a multi-processor or multi-core system.
okta,Identity and mobility management.
executable,An executable is a binary file that can be executed by the operating system. 
modulo,The modulo (sometimes called modulus) operation finds the remainder of division of one number by another. It&#39;s typically represented by the percent (&#39;%&#39;) character in programming languages.
simple-injector,"Simple Injector is an Dependency Injection library for Microsoft .NET, .NET Core, .NET Standard, Windows Phone, Windows Store Apps, and Mono."
id-generation,
pypdf,A Pure-Python library built as a PDF toolkit.
video-processing,"Video processing deals mostly with filtering video frames. Most common filters are noise removal, contrast and color modifications. For questions related to trimming and modifying videos use [video-editing], and [video-encoding] for questions related to editing videos into any format."
localhost,"In computer networking, localhost is the hostname given to the address of the loopback network interface. It is used by a host to access network services running on itself.
"
uicollectionviewlayout,The UICollectionViewLayout class is an abstract base class that is used to generate layout information for a collection view. 
scribble,Scribble is a domain specific language used for documentation in the Racket eco-system.
decltype-auto,
microsoft-graph-api,"Microsoft Graph is the gateway to data and intelligence in Microsoft 365. It provides a unified programmability model that you can use to access the tremendous amount of data in Microsoft 365, Windows 10, and Enterprise Mobility + Security. "
reflection.emit,The System.Reflection.Emit namespace contains classes that allow a compiler or tool to emit metadata and Microsoft intermediate language (MSIL) and optionally generate a PE file on disk.
reswift,
mapbox-android,"Mapbox Android Services contains directions, geocoding, and many more APIs to use inside your Android or Java application"
jcenter,"JCenter is the place to find and share popular Apache Maven packages for use by Maven, Gradle, Ivy, SBT, etc."
ssms-2018,
aes,Advanced Encryption Standard (AES) is a cryptographic block cipher algorithm.
post,"POST is one of the HTTP protocol methods; it is used when the client needs to send data to the server, such as when uploading a file, or submitting a completed form. The word post has several meanings, but this tag is specifically about HTTP POST requests."
mat-sidenav,
flask-socketio,Flask-SocketIO lets Flask python applications access low latency bi-directional communications between the clients and the server
rust-result,
iphone11,iPhone 11 has a set of new and unique features. Use this tag when your question is unique to iPhone 11.
r-faq,"The r-faq tag is created to group a limited number of questions discussing problems that come up regularly on the R tag. It is not the official FAQ on R for SO, but should serve as an interesting source of information on common problems. "
pinchzoom,Gesture which allows the user to zoom in by moving two fingers closer together while touching the display.
selenium-remotedriver,The Remote WebDriver implementation Controls a browser by sending commands to a remote server. This server is expected to be running the WebDriver wire protocol as defined in JsonWireProtocol.
.net-5,"The current version of .NET, successor of both .NET Core and .NET Framework. Use this tag for questions about .NET 5 and .NET 5&#39;s formal specification."
viewbuilder,
amazon,"DO NOT USE THIS TAG. Instead, use a more-specific tag, such as `amazon-web-services` or `amazon-product-api`. Amazon is a US-based multinational e-commerce company. If you have a programming-related question specific to one of their services, use that specific tag instead (if there is one)."
hotspot,"A hotspot is a physical location where people may obtain Internet access, typically using Wi-Fi technology."
timezone,"A time zone is a region on Earth that has a uniform, legally mandated standard time. It is often represented by an identifier, such as &quot;America/Los_Angeles&quot;. Do not mistake an offset such as -07:00 as a time zone. A time zone is much more than that. Please read the entire tag wiki for details."
perlin-noise,"Perlin noise is procedurally generated gradient noise. As its characteristics can be controlled, it is used mainly in visual effects.
"
symbol-table,A `symbol table` is a data structure that maps each identifier in a program&#39;s source code to information relating to its declaration or appearance in the source.
type-providers,"An F# type provider is a component that provides types, properties, and methods for use in your program. Type providers are a significant part of F# 3.0 support for information-rich programming. The key to information-rich programming is to eliminate barriers to working with diverse information sources found on the Internet and in modern enterprise environments.
"
jspdf-autotable,AutoTable is an extension for the popular jsPDF library which adds useful functionality for exporting tables in PDF format
google-api,"Use for questions about various Google APIs. The APIs are usually based on popular Google consumer products, including Cloud Platform, Google Maps, Google Earth, AdSense, Adwords, Google Apps, and YouTube. Do not use for API client library questions."
design-patterns,A design pattern is a general reusable solution to a commonly occurring problem in software design. Use this tag for questions when you&#39;re having problems with the implementation of design-patterns. Please don&#39;t use this tag on questions about text pattern matching.  When using this tag on implementation heavy questions - tag the code language the implementation is written in.
eslint,The pluggable linting utility for JavaScript and related frameworks.
xcarchive,"XCARCHIVE is an application archive created by Xcode, Apple&#39;s development IDE for Mac OS X and iOS applciations.  It stores all applications files in a format that can be submitted to the App Store for review, and contains a digital signature identifying the developer.  Use this tag for all questions related to this application archive."
elassandra,"Elassandra = Elasticsearch as a Cassandra secondary index. Elassandra tightly integrates elasticsearch within cassandra as a secondary index, allowing near-realtime search with all existing elasticsearch APIs. Use this tag for questions referring to the Elassandra."
inline-scripting,
class-diagram,UML diagram describing object classes and relations among them.
vscode-extensions,Visual Studio Code Extension API and extension development
swifter,
leaflet,"Leaflet is an open-source JavaScript library for mobile-friendly, cross-browser, interactive maps. For the R leaflet package, please use the r-leaflet tag."
tensorflow-xla,"XLA (Accelerated Linear Algebra) is a domain-specific compiler for linear algebra that optimizes TensorFlow computations. The results are improvements in speed, memory usage, and portability on server and mobile platforms. Initially, most users will not see large benefits from XLA, but are welcome to experiment by using XLA via just-in-time (JIT) compilation or ahead-of-time (AOT) compilation."
owl-carousel-2,Used for all questions relating to the Owl Carousel touch-enabled jQuery plugin version 2.
mql5,"MetaQuotes Language 5 (MQL5) is a built-in language for programming trading strategies. This language is developed by MetaQuotes Software Corp and allows to create your own Expert Advisors that make trading management automated and are perfectly suitable for implementing your own trading strategies. Besides, using MQL5 you can create your own technical indicators (custom indicators), scripts and libraries.
"
traits,"In computer programming, a trait is a collection of methods, used as a &quot;simple conceptual model for structuring object oriented programs&quot;"
component-diagram,
tsdoc,
formik-material-ui,
typescript-typings,"DO NOT USE IT AS A SYNONYM OF TYPES. Use for questions on typings, a package for managing TypeScript definitions. It uses typings.json, which can resolve to the Typings Registry, GitHub, NPM, Bower, HTTP, and local files. The package is now deprecated."
pencilkit,PencilKit is Apple&#39;s framework for capturing touch input as an opaque drawing and displaying that content from your app.
completion,
certificate,A certificate is an electronic document used in cryptography.
spring-cloud-stream,"Spring Cloud Stream allows a user to develop and run messaging microservices using Spring Integration and run them locally, or in the cloud, or even on Spring Cloud Data Flow. 

Just add @EnableBinding and run your app as a Spring Boot app (single application context). You just need to connect to the physical broker for the bus, which is automatic if the relevant bus implementation is available on the classpath."
field,In computer science a field is a smaller piece of data from a larger collection.
apache-sshd,Apache SSHD is a Java library based on Apache MINA to support SSH protocols like SCP or SFTP both client and server side.
podspec,"This is the file extension for CocoaPods, which is distributed as a ruby gem"
azure-devops-server-2019,"Azure DevOps Server (formerly Team Foundation Server or TFS) is the latest iteration of Microsoft&#39;s DevOps and ALM product suite which contains source control (Azure Repos), CI/CD (Azure Pipelines), agile work and portfolio management (Azure Boards) etc. The current version of Azure DevOps Server is 2020. Use this tag for questions on the 2019 on-prem version, as opposed to Azure DevOps Service, which is the cloud version."
polyline,Polyline in computer graphics is a continuous line composed of one or more line segments.
signed-apk,The signed apk is simply the unsigned apk that has been signed via the JDK jarsigner tool.
spark-checkpoint,
language-agnostic,Use this tag for PROGRAMMING QUESTIONS that are independent of any particular programming language.
false-sharing,"False sharing is the condition, where in parallel programs, memory cache lines are shared by two or more threads and writes on one cache line would force other cores working on the same line to re-validate their cache. This is a concurrency anti-pattern. "
pytest-xdist,
image-conversion,"Use this tag for questions about conversion from one image format to another. This is for still images only; for video, use the [video-conversion] tag."
google-java-format,
devise-jwt,
spawn,loading and executing a new child process
porting,"Converting existing code or executables to another programming language, environment, or architecture."
neighbours,
native-web-component,"Native Web components are reusable client-side elements made using native HTML Templates, Custom Elements, and Shadow DOM, without the need for third-party component libraries."
ocmod,
keymaps,
reduce,"Reduce refers to the second step in a MapReduce computation, a component of a larger scalable, parallel-izable algorithm."
reticulate,"Usage questions regarding reticulate R package which provides a comprehensive set of tools for interoperability between Python and R. 
"
kubernetes-pvc,"Kubernetes persistent volume claims: These are requested by pods in a cluster, from a storage pool that is pre-defined (or else, dynamically allocated).  "
copy-initialization,Initializes an object from another object
spring-cache,"Spring cache provides a Cache and CacheManager abstraction with several implementations including support for ehcache and JSR-107 providers. It also applies caching to Java methods, reducing thus the number of executions based on the information available in the cache. Both declarative annotation-based caching and aspect-oriented caching are supported."
springdoc-ui,
livecode,The LiveCode programming language (formerly the &quot;Revolution&quot; programming language) is a cross-platform rapid application development language.
osmnx,"OSMnx is a [Python] package for downloading real-world spatial geometries and street networks from [OpenStreetMap]. It allows you to easily model, project, visualize, and analyze street networks in Python with [NetworkX] and [geopandas]."
lighthouse,"Lighthouse is an open-source, automated tool for improving the quality of web pages. You can run it against any web page, public or requiring authentication. It has audits for performance, accessibility, progressive web apps, and more.

"
gcc-warning,"GCC is the GNU Compiler Collection, encompassing the gcc C compiler and the g++ C++ compiler, among others.  It has powerful warning facilities that can reveal coding errors in C and C++ code."
json-api,"&quot;JSON API&quot; is a standard for building APIs in JSON format. If you&#39;ve ever argued with your team about the way your JSON responses should be formatted, JSON API is your anti-bikeshedding weapon."
mscoco,
ggpubr,An R package to prepare publication ready plots based on the ggplot2 plotting system.
binary-reproducibility,"the goal or quality of consistently reproducing identical build output given identical source input, or often more specifically the goal of byte-for-byte identical executable files when built repeatedly, perhaps on different machines or at different times"
template-classes,
visual-studio-code,"Visual Studio Code is an open source text editor available for Linux, Mac, and Windows. It includes support for debugging, embedded Git control, various extensions and rich development experiences such as intelligent code completion. It is open source driven by Microsoft, built on Electron like GitHub&#39;s Atom."
particles.js,A lightweight JavaScript library for creating particles
accessory,"Mode which allows Android-powered devices that cannot act as a USB host to still interact with USB hardware. In this mode, the attached Android USB accessory acts as the host, provides power to the USB bus, and enumerates connected devices."
numpy,"NumPy is an extension of the Python language that adds support to large multidimensional arrays and matrixes, along with a large library of high-level mathematical functions for operations with these arrays.
"
temporary,"The concept of any object being ephemeral, for example temporary files or object that will only exist for a short period of time."
spi,"Serial Peripheral Interface (SPI) is a serial, synchronous bus commonly used in embedded systems. It is most often used for communication between a microcontroller and peripheral hardware such as memories, shift registers, sensors, displays etc, but can also be used for MCU to MCU communication."
graph-databases,"A graph database uses graph structures with nodes, edges, and properties to represent and store information."
dbutils,
cartesian-coordinates,A Cartesian coordinate system specifies each point uniquely in a plane by a pair of numerical coordinates
alert,An alert is usually a notification message to draw one&#39;s attention.
designtime-attributes,Use this tag for question involving designtime attributes in XAML.
bitpay,
tokio,
vue-pwa,
spannablestringbuilder,Use this tag for questions related to the SpannableStringBuilder Android API class for text whose content and markup can both be changed.
rails-i18n,"Repository for collecting Locale data for Ruby on Rails I18n as well as other interesting, Rails related I18n stuff."
reload,reloading is the process of re-requesting and re-rendering the currently displayed page
powerquery,"Microsoft Power Query for Excel enhances self-service business intelligence (BI) for Excel with an intuitive and consistent experience for discovering, combining, and refining data across a wide variety of sources including relational, structured and semi-structured, OData, Web, Hadoop, Azure Marketplace, and more. Power Query also provides you with the ability to search for public data from sources such as Wikipedia.
"
chunks,A chunk is a fragment of information which is used in many multimedia formats
chrome-options,
solr,Apache Solr is an open source search server based on the Lucene Java search library.
gpu,"Acronym for &quot;Graphics Processing Unit&quot;. For programming traditional graphical applications, see the tag entry for &quot;graphics programming&quot;. For general-purpose programming using GPUs, see the tag entry for &quot;gpgpu&quot;. For specific GPU programming technologies, see the popular tag entries for &quot;opencl&quot;, &quot;cuda&quot; and &quot;thrust&quot;."
haskell-snap-framework,"Snap is a simple web development framework, written in the Haskell programming language."
nat,Network Address Translation (NAT) is a method of connecting multiple computers to the Internet (or any other IP network) using one IP address.
swagger-codegen-maven-plugin,
custom-scrolling,Questions about innovative ways to create scrolling for user interfaces.
task-queue,"With the Task Queue API, applications can perform work outside of a user request, initiated by a user request."
download,"Receiving data to a local system from a remote system, or to initiate such a data transfer. Do not use this tag for question asking where to download off-site resource."
symfony-messenger,Messenger component provides a message bus with the ability to send messages and then handle them immediately in your Symfony application or send them through transports (e.g. queues) to be handled later.
interface,"An interface refers to the designated point of interaction with a component. Interfaces are applicable at both the hardware and software level.

---

It also refers to the language-element `interface`, which is the sole exception to single-inheritance in Java, C# and similar languages."
datalog,Datalog is a query and rule language for (deductive) databases that syntactically is a subset of Prolog.
nlohmann-json,Use this tag for questions related to nlohmann JSON C++ library
laravel-5.7,"Laravel 5.7 is the previous stable version of the open-source PHP web framework created by Taylor Otwell. It was released on September 4, 2018. Use it in addition to the [laravel-5] tag if your question is specific to Laravel 5.7. Use the [laravel] tag for general Laravel related questions."
recipe,"In general terms, a recipe is a set of instructions that describe how to prepare or make something, with respect to computing it&#39;s typically used to describe a set of rules used to manage building code."
matplotlib,Matplotlib is a plotting library for Python which may be used interactively or embedded in stand-alone GUIs. Its compact &quot;pyplot&quot; interface is similar to the plotting functions of MATLAB&#174;.
safe-publication,
interrupt-handling,The concept of handling system interrupts in an application or embedded system.
intellisense,"IntelliSense is Microsoft&#39;s implementation of automatic [code-completion], best known for its use in the Microsoft Visual Studio integrated development environment."
docker-exec,Docker command for run a command in a running container
cfthread,
decrement,"Subtracting one from the value of a variable, generally with the use of an decrement operator."
model-checking,"Model checking refers to the following problem: Given a model of a system, test automatically whether this model meets a given specification."
tasm,Turbo Assembler is an x86 assembler by Borland
sbv,
aws-elemental,AWS Elemental services can be used to manage broadcast-quality video workflows in the cloud.
okhttp,An HTTP+HTTP/2 client for Android and Java applications.
python-webbrowser,Python module that allows the user to load web content with available browsers.
telegraf-plugins,
guice,Guice is a lightweight dependency injection framework for Java.
slim,Slim for PHP is a RESTful micro framework for PHP 5 inspired by Sinatra.
tty,For questions related to terminal drivers and the behaviour of terminals for Unix and related systems.
aggregation,Aggregation is a relationship between two classes that is best described as a &quot;has-a&quot; and &quot;whole/part&quot; relationship.
dock,"A dock or Quick Launch bar is a graphical user interface element that typically provides the user with a way of launching, switching between, and monitoring running programs or applications. The dock can exist as an autonomous entity or incorporated within another GUI element, such as a Taskbar."
laravel-8,"Laravel 8 is the current stable version of the open-source PHP web framework created by Taylor Otwell. It was released on September 8, 2020. Please use the [laravel] tag for general Laravel-related questions."
phonegap,"PhoneGap is a distribution of Apache Cordova. You can think of Apache Cordova as the engine that powers PhoneGap, similar to how Blink is the engine that powers Chrome or Opera.

Over time, the PhoneGap distribution may contain additional tools that tie into other Adobe services, which would not be appropriate for an Apache project. For example, PhoneGap Build."
orphaned-objects,An orphaned object is one that cannot be found in the directory tree. File system objects can become orphaned when the directories that referenced them are damaged. 
pacman,"Pacman is an arcade game developed by Namco and licensed for distribution in the United States by Midway, first released in Japan on May 22, 1980. For the package manager of the same name, use [pacman-package-manager] instead."
decltype,decltype is a C++11 keyword that can be used to find the type of an expression.
autosar,"AUTOSAR (AUTomotive Open System ARchitecture) is an open and standardized automotive software architecture, jointly developed by automobile manufacturers, suppliers and tool developers.

Questions about the AUTOSAR stack, configuration and integration are welcome here."
location,"Location is a specific position in physical space, e.g. a point on the surface of the Earth described using latitude and longitude coordinates.
This tag should NOT be used for questions related to the position of a virtual element e.g. position of a pixel on a bitmap or position of a layout element on UI (use [position] tag in that cases)."
pagination,Pagination is the process of dividing information into discrete pages.
vaadin10,"Vaadin is a web development platform that consists of components, a Java framework, and tooling. Vaadin 10 is the first release that is not based on GWT anymore but supports webcomponents.
"
scrolltop,"The scrollTop method.

An element&#39;s scrollTop is a measurement of the distance of an element&#39;s top to its topmost visible content."
upcasting,Upcasting permits an object of a subclass type to be treated as an object of any superclass type.
symfony,"Symfony refers to both a PHP framework for building web applications as well as a set of components on which the framework is built.

This tag refers to the currently supported major versions 3.x, 4.x and 5.x. Alternatively you can specify an exact version using the respective tag. This tag should not be used for questions about Symfony 1.x. Please use the Symfony1 tag instead."
azure-devops-rest-api,Azure DevOps Services REST API (previously: Visual Studio Team Services REST APIs) is a set of APIs allowing management of Azure DevOps (formerly: Visual Studio Team Services) accounts as well as TFS 2015/2017/2018/2019 servers.
amazon-workmail,"Amazon WorkMail is a secure, managed business email and calendar service with a web client and limited support for existing desktop and mobile email client applications."
jpackage,jpackage is a tool for packaging self-contained Java applications
manual,a technical communication document intended to give assistance to people using a particular system
callstack,"A stack that stores details of the functions called by a program in sequence, so that each function can return on completion to the code that called it."
distributed,"Multiple computers working together, using a network to communicate"
socketserver,Python module which simplifies the task of writing network servers.
perlop,Perl operators and precedence
react-grid-layout,"A draggable and resizable grid layout with responsive breakpoints, for React."
flaui,"FlaUI is a .NET library which helps with automated UI testing of Windows applications: Win32, WinForms, WPF, Store Apps and so on."
partial,Existing only in part; incomplete.
memory-efficient,Use this tag for questions related to memory efficient code/applications/etc. .
delphi-xe5,"Delphi XE5 is a specific version of Delphi released in September 2013.  
Always use the [delphi] tag alongside this tag."
python-poetry,"Poetry is a Python tool to handle dependency installation, as well as the building and packaging of Python packages. Do NOT use this tag for poems written in the Python language, since this is off-topic on SO."
stl,"The Standard Template Library, or STL, is a C++ library of generic containers, iterators, algorithms, and function objects.

When C++ was standardised, large parts of the STL were adopted into the Standard Library, and these parts in the Standard Library are also sometimes erroneously referred to collectively as &quot;the STL&quot;."
database-performance,"Questions about database performance and tuning, ranging from files organization and configuration to benchmarking and system optimization, passing through management systems and the fastest ways to operate a database."
